\STAR_ID                                  = "HD 83443"
\DATA_CATEGORY                            = "Planet Radial Velocity Curve"
\NUMBER_OF_POINTS                         = "257"
\TIME_REFERENCE_FRAME                     = "BJD"
\MINIMUM_DATE                             = "2451262.6180"
\DATE_UNITS                               = "days"
\MAXIMUM_DATE                             = "2452717.6163"
\MINIMUM_VALUE                            = "28955.00"
\VALUE_UNITS                              = "m/s"
\MAXIMUM_VALUE                            = "29098.00"
\REFERENCE                                = "Mayor et al. 2004 (A&A, 415, 391)"
\BIBCODE                                  = "2004A&A...415..391M"
\TELESCOPE                                = "1.2m Euler Swiss telescope"
\INSTRUMENT                               = "CORALIE"
\WAVELENGTH_CALIBRATION_TECHNIQUE         = "Thorium Argon"
\OBSERVATORY_SITE                         = "ESO La Silla, Chile"
\COLUMN_RADIAL_VELOCITY                   = "Radial velocity relative to barycenter"
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY       = "Uncertainty in RADIAL_VELOCITY"
|          BJD | Radial_Velocity | Radial_Velocity_Uncertainty |
|       double |          double |                      double |
|         days |             m/s |                         m/s |
  2452433.4759          28972.00                          5.00
  2452434.4747          29058.00                          5.00
  2452435.4778          29046.00                          6.00
  2452436.4669          28975.00                          5.00
  2452437.5422          29062.00                          6.00
  2452438.4690          29062.00                          7.00
  2452439.4770          28975.00                          5.00
  2452454.4784          28981.00                          6.00
  2452459.5038          29073.00                         13.00
  2452459.5175          29090.00                         11.00
  2452463.4745          28975.00                          5.00
  2452464.4696          29068.00                          6.00
  2452465.4715          29052.00                          7.00
  2452466.4719          28975.00                          7.00
  2452467.4659          29076.00                          7.00
  2452467.4796          29087.00                          7.00
  2452639.8362          28995.00                          4.00
  2452642.8501          29000.00                          4.00
  2452643.8337          29082.00                          4.00
  2452644.8345          29008.00                          4.00
  2452645.8221          28987.00                          5.00
  2452647.8014          29012.00                          6.00
  2452648.8174          28998.00                          4.00
  2452649.8307          29084.00                          4.00
  2452712.6780          29097.00                          5.00
  2452713.6034          29003.00                          5.00
  2452714.6230          29009.00                          5.00
  2452715.5791          29080.00                          5.00
  2452716.5707          29002.00                          5.00
  2452717.6163          29001.00                          5.00
